Part Number,List Price,MAP Price,Currency,Product Type,Product Category,Product Sub Category,Product Sub Category Type,Product Model/Type,Product Friendly Name,Item Type,Short Marketing Description,Marketing Product Type,Feature Bullet 1,Feature Bullet 2,Feature Bullet 3,Feature Bullet 4,Feature Bullet 5,Image URL,Discount Group,Product Access Code,Spec Sheet URL,Status,Upcoming EOL date,TAA Compliant,GTIN
"800132-002","41.760000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","5319Wax","5319 Wax","Supplies","Wax Ribbon, 57mmx74m (2.2inx242ft), 5319; Performance, 12mm (0.5in) core, 12/box","Printing Supplies","The 5319 performance wax thermal transfer ribbon is a custom wax ink formulation that produces high-quality normal and rotated bar codes on coated and uncoated paper at print speeds up to 8 ips.","Produces a crisp black image with excellent high-speed performance and outstanding visible light and infrared scannability.","Ideal for general purpose, high-density barcode and text printing on paper label stocks.","Recommended for printing rotated (ladder) bar codes, high resolution graphics and fine text characters","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0023/5319-ribbon-25.4core-110mm-50m-supplies-desktop-2-photography-product.jpg","S1","1-Open","","Production","","","663056004455",
"05319BK11045","212.340000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","5319Wax","5319 Wax","Supplies","Wax Ribbon, 110mmx450m (4.33inx1476ft), 5319; Performance, 25mm (1in) core, 6/box","Printing Supplies","The 5319 performance wax thermal transfer ribbon is a custom wax ink formulation that produces high-quality normal and rotated bar codes on coated and uncoated paper at print speeds up to 8 ips.","Produces a crisp black image with excellent high-speed performance and outstanding visible light and infrared scannability.","Ideal for general purpose, high-density barcode and text printing on paper label stocks.","Recommended for printing rotated (ladder) bar codes, high resolution graphics and fine text characters","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0021/5319-ribbon-supplies-photography-product.jpg","S1","1-Open","","Production","","","663056003427",
"05319BK08945","171.600000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","5319Wax","5319 Wax","Supplies","Wax Ribbon, 89mmx450m (3.5inx1476ft), 5319; Performance, 25mm (1in) core, 6/box","Printing Supplies","The 5319 performance wax thermal transfer ribbon is a custom wax ink formulation that produces high-quality normal and rotated bar codes on coated and uncoated paper at print speeds up to 8 ips.","Produces a crisp black image with excellent high-speed performance and outstanding visible light and infrared scannability.","Ideal for general purpose, high-density barcode and text printing on paper label stocks.","Recommended for printing rotated (ladder) bar codes, high resolution graphics and fine text characters","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0021/5319-ribbon-supplies-photography-product.jpg","S1","1-Open","","Production","","","",
"05319BL13145","3056.160000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","5319Wax","5319 Wax","Supplies","TT RIBBON BLUE 131MM 450M","Printing Supplies","The 5319 performance wax thermal transfer ribbon is a custom wax ink formulation that produces high-quality normal and rotated bar codes on coated and uncoated paper at print speeds up to 8 ips.","Produces a crisp black image with excellent high-speed performance and outstanding visible light and infrared scannability.","Ideal for general purpose, high-density barcode and text printing on paper label stocks.","Especially recommended for printing rotated (ladder) bar codes, high resolution graphics and fine text characters","","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0020/5319-ribbon-supplies-photography-product.jpg","S1","1-Open","","Production","","","",
"05319BK10245","196.860000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","5319Wax","5319 Wax","Supplies","Wax Ribbon, 102mmx450m (4.02inx1476ft), 5319; Performance, 25mm (1in) core, 6/box","Printing Supplies","The 5319 performance wax thermal transfer ribbon is a custom wax ink formulation that produces high-quality normal and rotated bar codes on coated and uncoated paper at print speeds up to 8 ips.","Produces a crisp black image with excellent high-speed performance and outstanding visible light and infrared scannability.","Ideal for general purpose, high-density barcode and text printing on paper label stocks.","Recommended for printing rotated (ladder) bar codes, high resolution graphics and fine text characters","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0021/5319-ribbon-supplies-photography-product.jpg","S1","1-Open","","Production","","","",
"05319GD11005","0.000000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","5319Wax","5319 Wax","Supplies","Sample Wax Ribbon, 110mmx50m, 5319; Performance Wax, 25mm core, Gold","Printing Supplies","The 5319 performance wax thermal transfer ribbon is a custom wax ink formulation that produces high-quality normal and rotated bar codes on coated and uncoated paper at print speeds up to 8 ips.","Produces a crisp black image with excellent high-speed performance and outstanding visible light and infrared scannability.","Ideal for general purpose, high-density barcode and text printing on paper label stocks.","Recommended for printing rotated (ladder) bar codes, high resolution graphics and fine text characters","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0020/5319-ribbon-supplies-photography-product.jpg","X1","1-Open","","Production","","","",
"05319RD06045","350.100000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","5319Wax","5319 Wax","Supplies","Wax Ribbon, 60mmx450m (2.36inx1476ft), 5319; Performance, 25mm (1in) core, 6/box","Printing Supplies","The 5319 performance wax thermal transfer ribbon is a custom wax ink formulation that produces high-quality normal and rotated bar codes on coated and uncoated paper at print speeds up to 8 ips.","Produces a crisp black image with excellent high-speed performance and outstanding visible light and infrared scannability.","Ideal for general purpose, high-density barcode and text printing on paper label stocks.","Recommended for printing rotated (ladder) bar codes, high resolution graphics and fine text characters","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0021/5319-ribbon-supplies-photography-product.jpg","S1","1-Open","","Production","","","",
"05319RD11005","0.000000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","5319Wax","5319 Wax","Supplies","Sample Wax Ribbon, 110mmx50m, 5319; Performance Wax, 25mm core, Red","Printing Supplies","The 5319 performance wax thermal transfer ribbon is a custom wax ink formulation that produces high-quality normal and rotated bar codes on coated and uncoated paper at print speeds up to 8 ips.","Produces a crisp black image with excellent high-speed performance and outstanding visible light and infrared scannability.","Ideal for general purpose, high-density barcode and text printing on paper label stocks.","Recommended for printing rotated (ladder) bar codes, high resolution graphics and fine text characters","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0020/5319-ribbon-supplies-photography-product.jpg","X1","1-Open","","Production","","","",
"05319BL11005","0.000000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","5319Wax","5319 Wax","Supplies","Sample Wax Ribbon, 110mmx50m, 5319; Performance Wax, 25mm core, Blue","Printing Supplies","The 5319 performance wax thermal transfer ribbon is a custom wax ink formulation that produces high-quality normal and rotated bar codes on coated and uncoated paper at print speeds up to 8 ips.","Produces a crisp black image with excellent high-speed performance and outstanding visible light and infrared scannability.","Ideal for general purpose, high-density barcode and text printing on paper label stocks.","Recommended for printing rotated (ladder) bar codes, high resolution graphics and fine text characters","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0020/5319-ribbon-supplies-photography-product.jpg","X1","1-Open","","Production","","","",
"05319BK13145","194.100000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","5319Wax","5319 Wax","Supplies","Wax Ribbon, 131mmx450m (5.16inx1476ft), 5319; Performance, 25mm (1in) core, 6/box","Printing Supplies","The 5319 performance wax thermal transfer ribbon is a custom wax ink formulation that produces high-quality normal and rotated bar codes on coated and uncoated paper at print speeds up to 8 ips.","Produces a crisp black image with excellent high-speed performance and outstanding visible light and infrared scannability.","Ideal for general purpose, high-density barcode and text printing on paper label stocks.","Recommended for printing rotated (ladder) bar codes, high resolution graphics and fine text characters","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0021/5319-ribbon-supplies-photography-product.jpg","S1","1-Open","","Production","","","",
