keyword,product_slug,product_name,category,manufacturer
"brother rj 4230b","brother-rj-4230b","Brother RJ-4230B","drukarki-etykiet","brother"
"brother td 2020a","brother-td-2020a","Brother TD-2020A","drukarki-etykiet","brother"
"brother td 4d","brother-td-4d","Brother TD-4D","drukarki-etykiet","brother"
"brother td 4t","brother-td-4t","Brother TD-4T","drukarki-etykiet","brother"
"brother tj 4020tn","brother-tj-4020tn","Brother TJ-4020TN","drukarki-etykiet","brother"
"brother tj 4021tn","brother-tj-4021tn","Brother TJ-4021TN","drukarki-etykiet","brother"
"brother tj 4120tn","brother-tj-4120tn","Brother TJ-4120TN","drukarki-etykiet","brother"
"brother tj 4121tn","brother-tj-4121tn","Brother TJ-4121TN","drukarki-etykiet","brother"
"citizen cl e300","citizen-cl-e300","Citizen CL-E300","drukarki-etykiet","citizen"
"citizen cl e303","citizen-cl-e303","Citizen CL-E303","drukarki-etykiet","citizen"
"citizen cl e321","citizen-cl-e321","Citizen CL-E321","drukarki-etykiet","citizen"
"citizen cl e720","citizen-cl-e720","Citizen CL-E720","drukarki-etykiet","citizen"
"citizen cl e720dt","citizen-cl-e720dt","Citizen CL-E720DT","drukarki-etykiet","citizen"
"citizen cl e730","citizen-cl-e730","Citizen CL-E730","drukarki-etykiet","citizen"
"citizen cl s400dt","citizen-cl-s400dt","Citizen CL-S400DT","drukarki-etykiet","citizen"
"citizen cl s521ii","citizen-cl-s521ii","Citizen CL-S521II","drukarki-etykiet","citizen"
"citizen cl s531ii","citizen-cl-s531ii","Citizen CL-S531II","drukarki-etykiet","citizen"
"citizen cl s621ii","citizen-cl-s621ii","Citizen CL-S621II","drukarki-etykiet","citizen"
"citizen cl s631ii","citizen-cl-s631ii","Citizen CL-S631II","drukarki-etykiet","citizen"
"citizen cl s700iii","citizen-cl-s700iii","Citizen CL-S700III","drukarki-etykiet","citizen"
"citizen cl s703iii","citizen-cl-s703iii","Citizen CL-S703III","drukarki-etykiet","citizen"
"citizen cmp 20ii","citizen-cmp-20ii","Citizen CMP-20II","drukarki-etykiet","citizen"
"citizen cmp 25l","citizen-cmp-25l","Citizen CMP-25L","drukarki-etykiet","citizen"
"datalogic memor 30","datalogic-memor-30","Datalogic Memor 30","terminale-mobilne","datalogic"
"datalogic memor 35","datalogic-memor-35","Datalogic Memor 35","terminale-mobilne","datalogic"
"honeywell lnx3","honeywell-lnx3","Honeywell LNX3","drukarki-etykiet","honeywell"
"honeywell pc42e t","honeywell-pc42e-t","Drukarka etykiet Honeywell PC42E-T","drukarki-etykiet","honeywell"
"honeywell pd45s","honeywell-pd45s","Drukarka etykiet Honeywell PD45S","drukarki-etykiet","honeywell"
"honeywell pm65","honeywell-pm65","Drukarka etykiet Honeywell PM65","drukarki-etykiet","honeywell"
"honeywell px65","honeywell-px65","Drukarka etykiet Honeywell PX65","drukarki-etykiet","honeywell"
"honeywell granit ultra 2100i","honeywell-granit-ultra-2100i","Honeywell Granit Ultra 2100i","skanery-kodow-kreskowych","honeywell"
"honeywell granit ultra 2105i","honeywell-granit-ultra-2105i","Honeywell Granit Ultra 2105i","skanery-kodow-kreskowych","honeywell"
"honeywell granit xp 1990isr","honeywell-granit-xp-1990isr","Honeywell Granit XP 1990iSR","skanery-kodow-kreskowych","honeywell"
"honeywell granit xp 1990ixlr","honeywell-granit-xp-1990ixlr","Honeywell Granit XP 1990iXLR","skanery-kodow-kreskowych","honeywell"
"honeywell granit xp 1990ixr","honeywell-granit-xp-1990ixr","Honeywell Granit XP 1990iXR","skanery-kodow-kreskowych","honeywell"
"honeywell granit xp 1991isr","honeywell-granit-xp-1991isr","Honeywell Granit XP 1991iSR","skanery-kodow-kreskowych","honeywell"
"honeywell granit xp 1991ixlr","honeywell-granit-xp-1991ixlr","Honeywell Granit XP 1991iXLR","skanery-kodow-kreskowych","honeywell"
"honeywell granit xp 1991ixr","honeywell-granit-xp-1991ixr","Honeywell Granit XP 1991iXR","skanery-kodow-kreskowych","honeywell"
"honeywell voyager xp 1470g","honeywell-voyager-xp-1470g","Honeywell Voyager XP 1470g","skanery-kodow-kreskowych","honeywell"
"honeywell voyager xp 1472g","honeywell-voyager-xp-1472g","Honeywell Voyager XP 1472g","skanery-kodow-kreskowych","honeywell"
"honeywell xenon ultra 1960","honeywell-xenon-ultra-1960","Honeywell Xenon Ultra 1960g","skanery-kodow-kreskowych","honeywell"
"honeywell xenon ultra 1962","honeywell-xenon-ultra-1962","Honeywell Xenon Ultra 1962","skanery-kodow-kreskowych","honeywell"
